_id,id,link,title,Category ID,Category Title,Magnitude Value,Magnitude Unit,Geometry Type,Source ID,Source URL,Date,Time,Longitude,Latitude
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,55.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-11,09:00:00Z,-40.0,25.3
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,55.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-11,09:00:00Z,-40.0,25.3
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,60.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-11,15:00:00Z,-40.0,26.1
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,60.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-11,15:00:00Z,-40.0,26.1
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,65.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-11,21:00:00Z,-39.8,27.0
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,65.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-11,21:00:00Z,-39.8,27.0
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,70.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-12,03:00:00Z,-39.6,28.0
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,70.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-12,03:00:00Z,-39.6,28.0
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,75.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-12,09:00:00Z,-39.5,29.3
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,75.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-12,09:00:00Z,-39.5,29.3
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,75.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-12,15:00:00Z,-39.4,30.2
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,75.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-12,15:00:00Z,-39.4,30.2
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,70.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-12,21:00:00Z,-39.6,31.7
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,70.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-12,21:00:00Z,-39.6,31.7
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,75.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-13,03:00:00Z,-39.7,32.7
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,75.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-13,03:00:00Z,-39.7,32.7
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,75.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-13,09:00:00Z,-40.0,33.6
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,75.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-13,09:00:00Z,-40.0,33.6
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,80.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-13,15:00:00Z,-40.4,34.1
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,80.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-13,15:00:00Z,-40.4,34.1
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,80.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-13,21:00:00Z,-40.6,34.7
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,80.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-13,21:00:00Z,-40.6,34.7
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,75.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-14,03:00:00Z,-40.5,35.2
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,75.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-14,03:00:00Z,-40.5,35.2
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,65.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-14,09:00:00Z,-40.3,35.9
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,65.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-14,09:00:00Z,-40.3,35.9
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,70.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-14,15:00:00Z,-39.8,36.5
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,70.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-14,15:00:00Z,-39.8,36.5
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,70.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-14,21:00:00Z,-39.3,36.9
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,70.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-14,21:00:00Z,-39.3,36.9
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,65.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-15,03:00:00Z,-38.9,36.9
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,65.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-15,03:00:00Z,-38.9,36.9
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,60.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-15,09:00:00Z,-38.6,36.7
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,60.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-15,09:00:00Z,-38.6,36.7
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,55.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001009&amp;episodeid=4&amp;eventtype=TC,2023-09-15,15:00:00Z,-38.2,36.3
Row(oid='6506a0255457d4ab94009af4'),EONET_6421,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6421,Hurricane Margot,severeStorms,Severe Storms,55.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/MARGOT.shtml,2023-09-15,15:00:00Z,-38.2,36.3
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,40.0,kts,Point,EO,https://earthobservatory.nasa.gov/images/151822/hurricane-lee-traverses-the-warm-atlantic,2023-09-05,21:00:00Z,-41.8,13.2
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,40.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001008&amp;episodeid=4&amp;eventtype=TC,2023-09-05,21:00:00Z,-41.8,13.2
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,40.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/LEE.shtml,2023-09-05,21:00:00Z,-41.8,13.2
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,45.0,kts,Point,EO,https://earthobservatory.nasa.gov/images/151822/hurricane-lee-traverses-the-warm-atlantic,2023-09-06,03:00:00Z,-43.0,13.5
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,45.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001008&amp;episodeid=4&amp;eventtype=TC,2023-09-06,03:00:00Z,-43.0,13.5
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,45.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/LEE.shtml,2023-09-06,03:00:00Z,-43.0,13.5
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,55.0,kts,Point,EO,https://earthobservatory.nasa.gov/images/151822/hurricane-lee-traverses-the-warm-atlantic,2023-09-06,09:00:00Z,-44.6,13.7
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,55.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001008&amp;episodeid=4&amp;eventtype=TC,2023-09-06,09:00:00Z,-44.6,13.7
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,55.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/LEE.shtml,2023-09-06,09:00:00Z,-44.6,13.7
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,60.0,kts,Point,EO,https://earthobservatory.nasa.gov/images/151822/hurricane-lee-traverses-the-warm-atlantic,2023-09-06,15:00:00Z,-45.5,14.1
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,60.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001008&amp;episodeid=4&amp;eventtype=TC,2023-09-06,15:00:00Z,-45.5,14.1
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,60.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/LEE.shtml,2023-09-06,15:00:00Z,-45.5,14.1
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,65.0,kts,Point,EO,https://earthobservatory.nasa.gov/images/151822/hurricane-lee-traverses-the-warm-atlantic,2023-09-06,21:00:00Z,-46.4,14.9
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,65.0,kts,Point,GDACS,http://www.gdacs.org/report.aspx?eventid=1001008&amp;episodeid=4&amp;eventtype=TC,2023-09-06,21:00:00Z,-46.4,14.9
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,65.0,kts,Point,NOAA_NHC,https://www.nhc.noaa.gov/archive/2023/LEE.shtml,2023-09-06,21:00:00Z,-46.4,14.9
Row(oid='6506a0255457d4ab94009af5'),EONET_6420,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6420,Hurricane Lee,severeStorms,Severe Storms,70.0,kts,Point,EO,https://earthobservatory.nasa.gov/images/151822/hurricane-lee-traverses-the-warm-atlantic,2023-09-07,03:00:00Z,-47.7,15.4
